,Number,Channel,Check in,Check out,Rooms,Persons,Adults,Children,Total,Commission,Prepaid,Country,Reservation Date,Date of creation or modification,Cancellation Date ,Payment,Status 
0,1133853485,Booking.com XML,2017-04-08,2017-04-09,1 TPL Twin ,3,3,0,79.34,14.28,0.0,Argentina,2017-03-15 12:25,2017-03-17 01:07,2017-03-17 01:07,Credit card,Cancelled
1,1189403050,Booking.com XML,2017-04-08,2017-04-09,1 DBL Mat ,2,2,0,83.97,15.11,0.0,Argentina,2017-03-30 22:50,2017-03-30 22:50,,Credit card,New
2,1868347451,Booking.com XML,2017-04-08,2017-04-09,1 DBL Mat ,2,2,0,97.19,17.49,0.0,Argentina,2017-04-07 20:36,2017-04-07 20:36,,Credit card,New
3,1426867077,Booking.com XML,2017-04-07,2017-04-09,1 DBL Mat ,2,2,0,113.82,20.49,0.0,Uruguay,2017-01-27 14:34,2017-02-27 09:06,2017-02-27 09:06,Credit card,Cancelled
4,793922993,Expedia XML,2017-04-07,2017-04-09,1 DBL Twin ,2,2,0,110.16,0.0,110.16,,2017-02-14 22:27,2017-02-14 22:28,,Credit card,New
5,1792135708,Booking.com XML,2017-04-07,2017-04-08,1 SGL ,1,1,0,47.97,8.63,0.0,Argentina,2017-03-10 12:46,2017-03-15 23:49,2017-03-15 23:49,Credit card,Cancelled
6,1064548476,Booking.com XML,2017-04-07,2017-04-09,1 DBL Mat ,2,2,0,123.34,22.2,0.0,Argentina,2017-03-16 17:28,2017-03-28 22:37,2017-03-28 22:37,Credit card,Cancelled
7,1885989469,Booking.com XML,2017-04-07,2017-04-08,1 DBL Twin ,2,2,0,53.92,9.71,0.0,Argentina,2017-03-16 18:57,2017-03-16 18:57,,Credit card,New
8,1212761189,Booking.com XML,2017-04-07,2017-04-08,1 DBL Mat ,2,2,0,57.02,10.26,0.0,Argentina,2017-03-18 19:16,2017-03-18 19:17,,Credit card,New
9,1177255327,Booking.com XML,2017-04-07,2017-04-08,1 DBL Mat ,2,2,0,57.73,10.39,0.0,Argentina,2017-03-29 21:00,2017-03-29 21:01,,Credit card,New
10,1145153776,Booking.com XML,2017-04-07,2017-04-09,1 DBL Mat ,2,2,0,171.24,30.82,0.0,Argentina,2017-04-06 22:06,2017-04-06 22:07,,Credit card,New
11,3584683302,Despegar PAM2 XML,2017-04-07,2017-04-08,1 DBL Mat ,2,2,0,71.99,0.0,0.0,,2017-04-07 19:28,2017-04-07 19:39,,Credit card,New
12,1001122655,Booking.com XML,2017-04-06,2017-04-07,1 DBL Mat ,2,2,0,45.75,8.23,0.0,Brazil,2017-03-04 10:45,2017-04-06 06:27,2017-04-06 06:27,Credit card,Cancelled
13,810136216,Expedia XML,2017-04-06,2017-04-09,1 DBL Mat ,2,2,0,189.67,0.0,0.0,,2017-03-16 13:15,2017-03-16 13:16,,Credit card,New
14,1811449423,Booking.com XML,2017-04-06,2017-04-09,1 DBL Mat ,2,2,0,156.76,28.22,0.0,Brazil,2017-03-16 21:57,2017-03-16 21:57,,Credit card,New
15,1146602819,Booking.com XML,2017-04-06,2017-04-07,1 SGL ,1,1,0,400.66,72.12,0.0,USA,2017-04-06 10:39,2017-04-06 10:40,,Credit card,New
16,1378989115,Booking.com XML,2017-04-05,2017-04-07,1 DBL Twin 1 DBL Twin 1 DBL Twin ,6,6,0,360.75,64.94,0.0,Brazil,2017-01-18 09:38,2017-01-18 10:38,2017-01-18 10:38,Credit card,Cancelled
17,780591776,Expedia XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,104.75,0.0,104.75,,2017-01-18 11:56,2017-01-28 16:28,2017-01-28 16:28,Credit card,Cancelled
18,780591777,Expedia XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,104.75,0.0,104.75,,2017-01-18 11:56,2017-01-28 16:28,2017-01-28 16:28,Credit card,Cancelled
19,780591779,Expedia XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,104.75,0.0,104.75,,2017-01-18 11:56,2017-01-28 16:28,2017-01-28 16:28,Credit card,Cancelled
20,785421636,Expedia XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,104.75,0.0,104.75,,2017-01-28 16:29,2017-01-28 16:32,,Credit card,New
21,785421638,Expedia XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,104.75,0.0,104.75,,2017-01-28 16:29,2017-01-28 16:32,,Credit card,New
22,785421640,Expedia XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,104.75,0.0,104.75,,2017-01-28 16:29,2017-01-28 16:32,,Credit card,New
23,1329432182,Booking.com XML,2017-04-05,2017-04-06,1 DBL Mat 1 DBL Mat 1 DBL Mat ,6,6,0,171.06,30.79,0.0,Spain,2017-02-03 18:59,2017-02-11 17:25,2017-02-11 17:25,Credit card,Cancelled
24,1051342577,Booking.com XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,91.5,16.47,0.0,Brazil,2017-03-08 01:46,2017-03-08 01:47,,Credit card,New
25,1150413370,Booking.com XML,2017-04-05,2017-04-09,1 TPL Twin ,3,3,0,286.36,51.54,0.0,Colombia,2017-03-15 22:31,2017-03-15 22:31,,Credit card,New
26,3522992602,Despegar PAM2 XML,2017-04-05,2017-04-07,1 TPL Mat ,3,3,0,151.2,0.0,0.0,,2017-03-31 13:44,2017-03-31 14:00,,Credit card,New
27,1080788464,Booking.com XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,128.26,23.09,0.0,Argentina,2017-03-31 14:43,2017-03-31 14:43,,Credit card,New
28,1268239253,Booking.com XML,2017-04-05,2017-04-06,1 DBL Mat ,2,2,0,60.82,10.95,0.0,Argentina,2017-04-01 15:39,2017-04-01 15:39,,Credit card,New
29,1003666885,Booking.com XML,2017-04-05,2017-04-06,1 SGL ,1,1,0,56.86,10.23,0.0,Argentina,2017-04-02 18:23,2017-04-02 18:23,,Credit card,New
30,819705934,Expedia XML,2017-04-05,2017-04-06,1 DBL Twin ,2,2,0,58.88,0.0,58.88,,2017-04-03 13:48,2017-04-03 13:48,,Credit card,New
31,1989360057,Booking.com XML,2017-04-05,2017-04-07,1 SGL ,1,1,0,126.14,22.71,0.0,Argentina,2017-04-03 14:20,2017-04-03 14:21,,Credit card,New
32,1609196826,Booking.com XML,2017-04-05,2017-04-07,1 DBL Mat ,2,2,0,161.32,29.04,0.0,Argentina,2017-04-04 10:50,2017-04-04 10:50,,Credit card,New
